message,toxicity,context_score,context_type,label
you don't deserve to play,0.99,0.793,competitive,1
thanks for the game,0.175,0.256,pvp_combat,0
you're trash,0.836,0.604,team_chat,1
stupid noob,0.92,0.541,post_game,1
wp wp,0.172,0.176,pvp_combat,0
stop feeding moron,0.827,0.829,competitive,1
nice try!,0.044,0.491,team_chat,0
camper noob,0.635,0.559,all_chat,1
wait for team,0.11,0.472,team_chat,0
how are you this bad,0.778,0.562,post_game,1
thanks for the game,0.121,0.656,competitive,0
how are you this bad,0.766,0.812,competitive,1
sit down,0.51,0.525,team_chat,1
good call,0.181,0.275,casual,0
how are you this bad,0.847,0.82,competitive,1
uninstall you monkey,0.961,0.665,team_chat,1
end your life,0.771,0.62,team_chat,1
thanks for the game,0.117,0.61,team_chat,0
you suck so bad,0.759,0.795,competitive,1
you got lucky,0.406,0.164,casual,0
thanks for heal,0.17,0.497,casual,0
nice shot!,0.101,0.316,team_chat,0
end your life,0.843,0.662,competitive,1
tryhard,0.761,0.776,post_game,1
almost had it,0.128,0.03,pvp_combat,0
that was close,0.047,0.882,all_chat,0
it's just a game,0.521,0.502,team_chat,1
i'll help you,0.066,0.156,casual,0
great teamwork guys,0.197,0.395,team_chat,0
why so serious,0.453,0.379,casual,0
wp wp,0.176,0.453,team_chat,0
watch out behind you,0.111,0.972,competitive,0
nice shot!,0.062,0.692,post_game,0
kill yourself,0.784,0.553,post_game,1
follow me,0.17,0.534,all_chat,0
add me as friend,0.064,0.378,casual,0
i hope you lose every game,0.952,0.77,post_game,1
why so serious,0.312,0.196,pvp_combat,0
camper noob,0.722,0.302,team_chat,1
absolute garbage player,0.884,0.451,team_chat,1
nice hacks,0.294,0.153,pvp_combat,0
thanks for heal,0.189,0.465,casual,0
i hope you lose every game,0.924,0.331,casual,1
follow me,0.016,0.327,team_chat,0
rematch?,0.123,0.457,team_chat,0
nice kill,0.097,0.653,competitive,0
kill yourself,0.756,0.594,team_chat,1
nice shot!,0.149,0.45,team_chat,0
reported,0.347,0.049,pvp_combat,0
kill yourself,0.743,0.311,casual,1
nice try!,0.148,0.104,pvp_combat,0
follow me,0.069,0.856,competitive,0
stupid noob,0.92,0.554,all_chat,1
good luck have fun,0.197,0.647,team_chat,0
that was close,0.111,0.255,pvp_combat,0
absolute garbage player,0.712,0.659,competitive,1
great teamwork guys,0.167,0.639,post_game,0
cover me please,0.126,0.266,casual,0
nice save,0.048,0.334,team_chat,0
thanks for the game,0.031,0.838,all_chat,0
nice try!,0.094,0.954,competitive,0
let's try again,0.111,0.516,post_game,0
nice kill,0.068,0.787,post_game,0
destroyed you,0.466,0.361,casual,0
reported,0.216,0.042,pvp_combat,0
enemy spotted,0.063,0.658,all_chat,0
you're trash,0.767,0.922,competitive,1
you're retarded,0.886,0.334,casual,1
need backup,0.12,0.845,all_chat,0
neck yourself,0.879,0.636,competitive,1
destroyed you,0.29,0.431,casual,0
sit down,0.355,0.251,pvp_combat,0
good luck have fun,0.116,0.605,competitive,0
follow me,0.08,0.732,competitive,0
thanks for the game,0.141,0.166,pvp_combat,0
almost had it,0.132,0.396,team_chat,0
uninstall you monkey,0.972,0.065,pvp_combat,1
hacker,0.611,0.616,team_chat,1
you suck so bad,0.75,0.52,team_chat,1
you're useless,0.788,0.693,team_chat,1
let's try again,0.015,0.895,all_chat,0
good defense,0.199,0.732,competitive,0
enemy spotted,0.012,0.566,post_game,0
camper noob,0.578,0.651,competitive,1
lets push together,0.194,0.43,team_chat,0
you're retarded,0.873,0.69,competitive,1
enemy spotted,0.128,0.704,all_chat,0
wait for team,0.118,0.324,casual,0
nice save,0.096,0.16,pvp_combat,0
stupid noob,0.985,0.449,casual,1
enemy spotted,0.089,0.417,post_game,0
cover me please,0.046,0.336,pvp_combat,0
hacker,0.51,0.584,post_game,1
how are you still alive,0.706,0.853,competitive,1
good game everyone,0.173,0.609,all_chat,0
enemy spotted,0.069,0.395,pvp_combat,0
nice save,0.144,0.421,casual,0
nice try!,0.069,0.958,competitive,0
let's try again,0.036,0.408,casual,0
absolute garbage player,0.826,0.279,pvp_combat,1
nice play,0.041,0.657,competitive,0
great teamwork guys,0.005,0.759,all_chat,0
trash team,0.753,0.834,all_chat,1
worst player ever,0.966,0.424,casual,1
die in a fire,0.762,0.664,all_chat,1
nice play,0.016,0.356,pvp_combat,0
nice hacks,0.21,0.079,pvp_combat,0
get cancer,0.87,0.539,team_chat,1
enemy spotted,0.139,0.56,post_game,0
worst player ever,0.81,0.657,team_chat,1
worst player ever,0.832,0.331,team_chat,1
follow me,0.109,0.822,competitive,0
smashed you,0.4,0.026,pvp_combat,0
you're a waste of space,0.83,0.478,post_game,1
hacker,0.784,0.707,post_game,1
you're trash,0.859,0.221,pvp_combat,1
let's try again,0.174,0.863,competitive,0
good call,0.164,0.498,team_chat,0
great teamwork guys,0.175,0.44,post_game,0
kys noob,0.921,0.115,pvp_combat,1
nice kill,0.128,0.679,all_chat,0
destroyed you,0.291,0.192,pvp_combat,0
i hope you lose every game,0.832,0.105,pvp_combat,1
gg well played team!,0.1,0.318,casual,0
follow me,0.064,0.563,post_game,0
that was fun,0.027,0.356,pvp_combat,0
neck yourself,0.794,0.428,team_chat,1
follow me,0.081,0.952,competitive,0
i hope you lose every game,0.772,0.519,team_chat,1
camper noob,0.529,0.607,all_chat,1
great teamwork guys,0.102,0.934,competitive,0
absolute garbage player,0.732,0.201,pvp_combat,1
need backup,0.065,0.045,pvp_combat,0
i'll kill you,0.705,0.667,all_chat,1
nice shot!,0.094,0.316,casual,0
wait for team,0.027,0.991,competitive,0
you don't deserve to play,0.96,0.675,post_game,1
good game everyone,0.135,0.677,all_chat,0
you're throwing the game,0.808,0.973,competitive,1
uninstall the game noob,0.995,0.607,competitive,1
nice save,0.046,0.89,all_chat,0
you're retarded,0.728,0.573,all_chat,1
let's try again,0.129,0.225,pvp_combat,0
i'll kill you,0.229,0.237,casual,0
